Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
6760,1929,250,0,0
8328,1935,212,33,0
15459,2438,327,16,51
7485,2035,324,0,0
10254,2099,231,25,21
10114,2096,269,9,18
11107,2058,196,46,14
10320,2338,315,32,15
10209,2104,316,6,2
16081,2488,401,32,16
10078,2164,303,3,12
10001,2009,196,52,5
0,399,0,0,0
10113,2344,320,13,28
10352,2038,195,32,19
10129,2010,206,48,1
10465,2133,284,24,1
22244,2670,268,72,66
5472,1882,249,7,1
8247,1944,206,16,11
6711,2346,382,7,0
10999,2198,269,43,11
10080,2048,208,26,23
7804,1946,206,27,9
16901,2629,360,35,32
9471,2187,360,0,0
9482,2095,277,11,15
5980,1861,227,0,0
11423,2194,295,9,26
890,1335,41,0,0
2214,1559,197,0,0
7640,1845,315,15,3
9713,2046,355,24,6
8432,1953,374,0,0
7350,1910,382,0,0
9353,2035,363,17,5
7157,1944,380,0,0
14103,2257,288,8,46
5290,1724,251,8,1
7497,1741,357,0,0
0,0,0,0,0
8796,1982,356,21,2
7618,2004,404,8,0
7910,1893,331,0,0
8482,2063,448,0,0
9685,2148,305,1,47
2524,1529,160,8,0
7762,1890,311,6,1
7948,1956,389,0,0
9202,2094,378,5,22
8859,1970,371,10,2
7286,2241,366,0,46
9317,2021,330,5,28
6873,1898,190,1,46
7373,1907,359,0,0
8242,1882,309,5,2
3516,1966,197,0,46
7913,1835,213,7,28
7365,1780,206,23,20
8452,1830,248,20,5
7399,1739,196,18,7
7525,1878,334,7,0
7412,1906,363,6,1
8278,2015,420,0,0
8314,1971,311,23,13
7063,1910,370,5,0
4940,1897,52,11,75
8168,2096,326,0,46
7726,1906,345,0,0
8275,1962,373,0,0
6440,1826,319,0,0
5785,1852,311,0,0
7625,2069,341,1,24
4706,1816,299,0,0
5861,1878,233,7,20
4460,1787,248,0,0
6406,2010,325,4,17
7392,2038,332,9,14
5551,1815,282,0,0
8827,2062,346,10,21
4662,1276,152,4,22
4747,1788,280,0,0
9715,2093,371,8,16
8844,2065,370,25,6
7451,1908,335,0,0
6905,1908,356,0,0
8199,1964,322,2,11
6798,2014,343,7,20
7711,1985,376,0,0
4880,1867,274,3,15
8857,2124,376,9,18
3843,1669,206,0,0
7396,1995,303,2,20
6731,1921,292,7,14
5995,2010,416,0,0
8283,2057,333,2,22
7904,2095,346,13,24
5512,1972,385,0,0
9135,2044,402,0,0
5250,1946,300,4,17
4499,1288,168,0,0
7618,1490,302,6,0
11508,1630,282,22,29
11943,1648,297,43,16
12303,1649,291,32,26
15425,1783,331,45,24
8422,1431,139,81,0
10226,1524,174,101,0
14583,1697,254,36,35
3573,1232,99,8,15
3108,1223,129,1,1
759,182,17,0,0
8856,1450,131,19,44
10035,1495,153,46,31
7641,1433,214,23,5
9010,1468,183,42,15
13459,1625,153,83,31
10415,1529,205,58,11
11663,1584,214,95,4
12414,1638,221,67,19
11658,1554,164,98,2
6093,1397,242,0,0
8911,1481,188,12,33
